Dataset,Query,Millisecondi
25%,Query 1,172.63340950012207
25%,Query 2,517.005443572998
25%,Query 3,299.0679740905762
25%,Query 4,1276.1821746826172
50%,Query 1,496.1373805999756
50%,Query 2,3835.9286785125732
50%,Query 3,954.7357559204102
50%,Query 4,5509.273529052734
75%,Query 1,910.6855392456055
75%,Query 2,11790.061950683594
75%,Query 3,1669.7416305541992
75%,Query 4,12505.15103340149
100%,Query 1,1597.355604171753
100%,Query 2,27074.56398010254
100%,Query 3,2576.066493988037
100%,Query 4,48225.39782524109
